Run_ID,Timestamp_UTC,Label,Git_Commit,Git_Dirty,RLDC_Capture_mean,LastYearOpt_Capture_mean,Hydro_Model_Capture_mean,Hydro_RLDC_Capture_mean,fp:RTM_Prices_2022_2026.csv,fp:DAM_Prices_2022_2026.csv,fp:Previous_Declarations.csv,fp:Previous_Declarations_Hydro.csv,fp:_manifest.json,Note
20260917T111233Z,2026-09-17T11:12:33+00:00,segment1-smoke-test,b810fbc,True,90.69,98.34,98.05,89.24,f0307f7a138c,6393ac65fa7d,9d5b63b0353b,a93c6e2f5b34,missing,verifying registry ports cleanly
20260917T113946Z,2026-09-17T11:39:46+00:00,onedrive-migration-smoke-test,b810fbc,True,90.69,98.34,98.05,89.24,f0307f7a138c,6393ac65fa7d,9d5b63b0353b,a93c6e2f5b34,missing,verifying paths resolve to OneDrive on both cache and reports side
